Opportunity ID,Lost Stage,Country,Close Stage,Channel,Drop,Gender,Close Date,Campus,Interest,Format
0065J000009E0Ge,,Spain,Paid Deposit,Email,True,Female,2022-03-29,RMT,WD,FT
0065J00000Awp4h,,Azerbaijan,Paid Deposit,Direct,True,Female,2022-03-29,BCN,UX,FT
0065J000009CD60,Technical Interview,United States,Closed lost,Paid Search,False,Female,2022-01-12,BCN,DA,FT
0065J000009Ckyd,Technical Interview,Colombia,Closed lost,Organic Search,False,Female,2022-01-03,BCN,DA,PT
0065J000009CmDl,Technical Interview,Spain,Closed lost,Organic Search,False,Female,2022-01-11,BCN,DA,PT
0065J000009CwMv,Technical Interview,Spain,Closed lost,Organic Search,False,Female,2022-04-07,BCN,WD,FT
0065J000009D0Bt,Personal Interview,Spain,Closed lost,Referral,False,Male,2022-01-03,BCN,WD,PT
0065J000009DA0e,Technical Interview,Spain,Closed lost,Organic Search,False,Male,2022-01-03,BCN,DA,PT
0065J000009DERF,,Spain,Paid Deposit,Direct,False,Female,2022-02-17,BCN,UX,PT
0065J000009DGSJ,Technical Interview,Spain,Closed lost,Organic Search,False,Female,2022-01-03,BCN,UX,PT
0065J000009DIWi,Personal Interview,Spain,Closed lost,Organic Search,False,Female,2022-01-31,BCN,WD,PT
0065J000009DMCb,Personal Interview,Spain,Closed lost,Email,False,,2022-01-11,BCN,,PT
0065J000009DQ4s,,Spain,Paid Deposit,Referral,False,Female,2022-03-03,BCN,UX,FT
0065J000009DhT4,Technical Interview,Spain,Closed lost,Other,False,Female,2022-01-03,RMT,DA,FT
0065J000009DhWN,Technical Interview,Spain,Closed lost,Paid Search,False,Female,2022-01-31,BCN,UX,PT
0065J000009DkOY,Student Agreement,Spain,Closed lost,Organic Search,False,Male,2022-01-10,BCN,WD,FT
0065J000009DmrN,,Spain,Paid Deposit,Referral,False,Female,2022-01-31,BCN,UX,PT
0065J000009DrSy,Technical Interview,Spain,Closed lost,Referral,False,Male,2022-01-31,BCN,UX,FT
0065J000009DtNa,Personal Interview,Spain,Closed lost,Paid Search,False,Female,2022-03-16,BCN,WD,FT
0065J000009DuWl,Technical Interview,Spain,Closed lost,Organic Search,False,Male,2022-02-14,BCN,WD,PT
0065J000009Dv8b,Technical Interview,Netherlands,Closed lost,Paid Search,False,Female,2022-02-24,BCN,DA,FT
0065J000009Dwhw,Personal Interview,Belgium,Closed lost,Direct,False,Male,2022-03-11,BCN,DA,FT
0065J000009E1Tp,,Spain,Paid Deposit,Organic Search,False,Female,2022-01-18,BCN,WD,FT
0065J000009E27f,Personal Interview,Spain,Closed lost,Direct,False,Male,2022-01-13,BCN,DA,FT
0065J000009E3Hw,Personal Interview,Spain,Closed lost,Referral,False,Male,2022-01-24,BCN,WD,FT
0065J000009E4Mx,,Spain,Paid Deposit,Organic Search,False,Male,2022-01-24,BCN,WD,PT
0065J000009E4mM,,Spain,ISA won on account,Organic Search,False,Male,2022-02-16,BCN,DA,PT
0065J000009E62B,Technical Interview,Palestine,Closed lost,Organic Search,False,Male,2022-01-31,BCN,WD,FT
0065J000009E6VN,,Spain,ISA won on account,Paid Search,False,Male,2022-01-07,BCN,UX,FT
0065J000009E6xC,Personal Interview,Spain,Closed lost,Organic Search,False,Male,2022-01-27,BCN,UX,PT
0065J000009E9ls,Personal Interview,Indonesia,Closed lost,Organic Search,False,,2022-01-31,BCN,UX,FT
0065J000009EBsD,,Switzerland,Paid Deposit,Organic Search,False,Female,2022-02-17,BCN,UX,FT
