"Opportunity ID";"Stage Before Lost";"Created Date";"Interest";"Campus extended";"Country Aggregate";"Stage";"Last Click Channel";"Drop";"Person Account: Gender";"Close Date"
"0065J000009F82u";"Technical Interview";"20/02/2022";"DAPT";"MAD - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"11/04/2022"
"0065J00000BRHqK";"Technical Interview";"26/05/2022";"WDFT";"BCN - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"26/07/2022"
"0065J00000DPub2";"Technical Interview";"20/06/2023";"DAFT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"21/06/2023"
"0065J00000E4GpI";"Personal Interview";"4/04/2023";"DAPT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"";"15/06/2023"
"0065J00000BRINx";"Personal Interview";"26/05/2022";"DAFT";"BCN - Spain";"Spain";"Closed lost";"Direct";"0";"";"26/07/2022"
"0065J00000Cd0CD";"";"20/01/2023";"WDFT";"RMTEU - Spain";"Spain";"Paid Deposit";"";"0";"Male";"27/01/2023"
"0065J00000CcVsl";"";"23/12/2022";"UXFT";"BCN - Spain";"Belgium";"Paid Deposit";"";"1";"Male";"17/01/2023"
"0065J00000DPeQI";"Technical Interview";"30/05/2023";"WDPT";"BCN - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"5/06/2023"
"0065J00000Bm5pQ";"Re-applied";"22/08/2022";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"";"21/09/2022"
"0065J00000BmkZI";"";"3/10/2022";"DAFT";"BCN - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"Male";"3/10/2022"
"0065J00000Cc3ac";"";"21/11/2022";"WDFT";"BCN - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Male";"22/11/2022"
"0065J00000CcANZ";"";"29/11/2022";"WDFT";"RMTEU - Spain";"Spain";"ISA won on account";"";"0";"Male";"19/12/2022"
"0065J00000E43Mw";"";"20/03/2023";"DAPT";"RMTEU - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"Female";"23/03/2023"
"0065J000009DkOY";"Student Agreement";"15/12/2021";"WDFT";"BCN - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"10/01/2022"
"0065J00000CciJG";"Student Agreement";"9/01/2023";"DAFT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"9/02/2023"
"0065J00000BmICV";"";"7/09/2022";"WDFT";"MAD - Spain";"Spain";"Paid Deposit";"Social";"0";"Male";"9/09/2022"
"0065J00000DOlNh";"Technical Interview";"3/05/2023";"DAFT";"MAD - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"20/06/2023"
"0065J00000Bmrbk";"Re-applied";"11/10/2022";"UXFT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"11/10/2022"
"0065J000009Ef05";"";"1/02/2022";"UXFT";"MAD - Spain";"Spain";"ISA won on account";"Organic Search";"0";"Female";"28/03/2022"
"0065J00000AwlQP";"Personal Interview";"24/03/2022";"DAFT";"RMTEU - Spain";"Spain";"Closed lost";"Direct";"0";"";"6/04/2022"
"0065J00000DPLK1";"Personal Interview";"25/05/2023";"UXFT";"RMTEU - Spain";"Spain";"Closed lost";"Direct";"0";"Male";"26/05/2023"
"0065J00000E3tJk";"Technical Interview";"9/03/2023";"DAPT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"Female";"13/03/2023"
"0065J00000CABMZ";"Technical Interview";"7/07/2022";"UXPT";"BCN - Spain";"Spain";"Closed lost";"Paid Search";"0";"Female";"16/08/2022"
"0065J00000E3wFv";"Technical Interview";"13/03/2023";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"Paid Search";"0";"Female";"21/03/2023"
"0065J00000E3zv6";"Technical Interview";"16/03/2023";"WDPT";"MAD - Spain";"Spain";"Closed lost";"Organic Search";"0";"Male";"22/03/2023"
"0065J00000BRe9q";"";"16/06/2022";"WDFT";"BCN - Spain";"United States";"Paid Deposit";"Referral";"1";"Male";"30/06/2022"
"0065J00000CbvBh";"";"14/11/2022";"UXPT";"RMTEU - Spain";"Spain";"Paid Deposit";"Email";"0";"Male";"21/11/2022"
"0065J000009F38M";"";"16/02/2022";"WDFT";"MAD - Spain";"Spain";"Paid Deposit";"Organic Search";"0";"Male";"2/03/2022"
"0065J00000DOToo";"Technical Interview";"13/04/2023";"UXFT";"RMTEU - Spain";"Spain";"Closed lost";"Email";"0";"";"4/05/2023"
"0065J00000CA9u5";"Personal Interview";"6/07/2022";"WDFT";"BCN - Spain";"Spain";"Closed lost";"";"0";"";"11/07/2022"
"0065J00000E3thm";"";"9/03/2023";"WDPT";"MAD - Spain";"Spain";"ISA won on account";"Organic Search";"0";"Female";"16/03/2023"
"0065J00000CA3Rg";"Technical Interview";"30/06/2022";"WDPT";"BCN - Spain";"Spain";"Closed lost";"Direct";"0";"Female";"17/08/2022"
"0065J00000CdOC5";"";"13/02/2023";"DAFT";"RMTEU - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"Female";"17/02/2023"
"0065J00000E40TG";"";"16/03/2023";"DAFT";"MAD - Spain";"Spain";"Paid Deposit";"";"0";"Male";"21/03/2023"
"0065J00000CACCa";"Re-applied";"8/07/2022";"DAPT";"RMTEU - Spain";"Spain";"Closed lost";"Organic Search";"0";"Female";"11/07/2022"
"0065J00000Cd1ij";"Technical Interview";"23/01/2023";"WDFT";"RMTEU - Spain";"Spain";"Closed lost";"";"0";"";"23/01/2023"
"0065J00000DPzj2";"Personal Interview";"27/06/2023";"WDPT";"BCN - Spain";"Spain";"Closed lost";"";"0";"";"29/06/2023"
"0065J00000CcAK1";"";"29/11/2022";"UXPT";"BCN - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"Female";"20/01/2023"
"0065J00000BmAaG";"Student Agreement";"29/08/2022";"WDFT";"MAD - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"2/09/2022"
"0065J00000E3pmd";"";"6/03/2023";"DAFT";"MAD - Spain";"Spain";"ISA won on account";"Organic Search";"0";"Female";"10/03/2023"
"0065J00000DOa3w";"Technical Interview";"19/04/2023";"UXFT";"BCN - Spain";"Thailand";"Closed lost";"Organic Search";"0";"Male";"27/04/2023"
"0065J00000DPg9A";"Technical Interview";"1/06/2023";"WDPT";"BCN - Spain";"Spain";"Closed lost";"Paid Search";"0";"Male";"12/06/2023"
"0065J00000Cd1bE";"";"23/01/2023";"WDFT";"RMTEU - Spain";"Spain";"Paid Deposit";"";"0";"Male";"23/01/2023"
"0065J00000E3tdL";"Technical Interview";"9/03/2023";"DAFT";"RMTEU - Spain";"Spain";"Closed lost";"Other";"0";"Male";"28/03/2023"
"0065J00000DPrSd";"Personal Interview";"16/06/2023";"UXFT";"BCN - Spain";"Spain";"Closed lost";"Paid Search";"0";"";"26/06/2023"
"0065J00000Ax6dR";"Personal Interview";"12/04/2022";"WDFT";"BCN - Spain";"Spain";"Closed lost";"Organic Search";"0";"";"19/07/2022"
"0065J00000CAEb3";"";"11/07/2022";"DAFT";"MAD - Spain";"Spain";"Paid Deposit";"Paid Search";"0";"Female";"29/07/2022"
"0065J00000CAB12";"Student Agreement";"7/07/2022";"DAPT";"MAD - Spain";"Spain";"Closed lost";"Email";"0";"Male";"24/08/2022"
"0065J00000BR81G";"Personal Interview";"17/05/2022";"WDFT";"BCN - Spain";"Spain";"Closed lost";"Paid Search";"0";"";"26/05/2022"
